ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
39695_at	0.000111	1.56e-08	9.9364376	9.5645	2.4777375	CD55	CD55 molecule (Cromer blood group)
35871_s_at	0.000111	1.76e-08	-9.855742	9.4597	-2.0782925	SLC4A4	solute carrier family 4 member 4
748_s_at	0.000115	3.91e-08	-9.3312695	8.758	-1.6982725	MXI1	MAX interactor 1, dimerization protein
32568_at	0.000115	4.22e-08	-9.2825818	8.691	-1.7745683	BTG3	BTG anti-proliferation factor 3
408_at	0.000115	5.47e-08	9.1170046	8.4606	3.578045	CXCL1	C-X-C motif chemokine ligand 1
930_at	0.000115	6.29e-08	-9.0289724	8.3366	-0.6919617	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
37187_at	0.000115	7.12e-08	8.9511771	8.2261	3.9483075	CXCL2	C-X-C motif chemokine ligand 2
32821_at	0.000115	7.97e-08	8.88057	8.125	4.1882683	LCN2	lipocalin 2
40713_at	0.000115	8.17e-08	-8.864982	8.1026	-1.0082983	NFAT5	nuclear factor of activated T-cells 5
31782_at	0.000115	9.12e-08	-8.7967731	8.0042	-0.7449208	PTGDR	prostaglandin D2 receptor
32979_at	0.000157	1.37e-07	-8.5460618	7.6366	-0.87304	GAB1	GRB2 associated binding protein 1
35494_at	0.000392	3.73e-07	-7.9521904	6.7289	-1.4632733	PANK3	pantothenate kinase 3
842_at	0.000429	4.72e-07	-7.814917	6.5115	-0.7510158	ZMYND8	zinc finger MYND-type containing 8
40604_at	0.000429	4.76e-07	-7.8110832	6.5054	-1.1530883	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
40206_at	0.000441	5.24e-07	7.7553901	6.4163	1.6193508	PSKH1	protein serine kinase H1
41144_g_at	0.000488	6.19e-07	-7.6603613	6.2633	-1.15524	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
33658_at	0.000494	6.65e-07	-7.6192671	6.1967	-0.7055775	ZNF124	zinc finger protein 124
33103_s_at	0.000505	7.20e-07	-7.5747623	6.1243	-1.9005742	ADD3	adducin 3
274_at	0.000647	9.74e-07	-7.4050459	5.8452	-0.7843583	ZNF148	zinc finger protein 148
38580_at	0.000837	1.33e-06	-7.234101	5.5597	-0.7787083	GNAQ	G protein subunit alpha q
39827_at	0.001016	1.69e-06	7.1009416	5.3341	1.0317425	DDIT4	DNA damage inducible transcript 4
33035_at	0.001063	1.94e-06	-7.0269363	5.2075	-1.1466375	TIPRL	TOR signaling pathway regulator
33460_at	0.001063	1.97e-06	-7.016555	5.1897	-1.1729667	P2RY1	purinergic receptor P2Y1
35865_at	0.001063	2.02e-06	-7.0040393	5.1681	-1.0097642	NR5A2	nuclear receptor subfamily 5 group A member 2
953_g_at	0.001349	2.67e-06	-6.8536252	4.9077	-1.2838692	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A
36215_at	0.001585	3.26e-06	-6.7465205	4.7201	-1.79964	PRKACB	protein kinase cAMP-activated catalytic subunit beta
37315_f_at	0.00188	4.02e-06	-6.6361588	4.5249	-1.2023475	EAPP	E2F associated phosphoprotein
1682_s_at	0.001898	4.21e-06	-6.6120348	4.482	-1.2674958	ABCB1	ATP binding cassette subfamily B member 1
1539_at	0.001935	4.44e-06	-6.583484	4.4311	-0.75895	NRAS	neuroblastoma RAS viral oncogene homolog
