ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205184_at	7.79e-26	3.86e-30	-13.3231438	57.396946	-1.8439854	GNG4	G protein subunit gamma 4
206307_s_at	8.57e-25	8.49e-29	-12.9070518	54.398221	-1.74387417	FOXD1	forkhead box D1
213369_at	1.18e-19	1.76e-23	-11.2363685	42.510801	-2.21289482	CDHR1	cadherin related family member 1
220329_s_at	2.40e-18	4.76e-22	-10.7767019	39.306536	-1.45234701	RMND1	required for meiotic nuclear division 1 homolog
243296_at	3.47e-18	8.58e-22	10.6938161	38.732835	2.88798441	NAMPT	nicotinamide phosphoribosyltransferase
1564263_at	7.77e-18	2.31e-21	-10.5543832	37.770796	-0.90357215	LINC00330	long intergenic non-protein coding RNA 330
244608_at	1.77e-16	6.14e-20	-10.0880133	34.583132	-0.89547863	MIR4307HG	MIR4307 host gene
214598_at	1.97e-16	7.83e-20	-10.053319	34.347983	-2.31597856	CLDN8	claudin 8
205315_s_at	2.27e-16	1.01e-19	10.0162617	34.09714	0.8012724	SNTB2	syntrophin beta 2
205429_s_at	9.78e-16	4.85e-19	-9.7905785	32.576871	-1.19020594	MPP6	membrane palmitoylated protein 6
239922_at	1.56e-15	8.48e-19	-9.7093612	32.032986	-0.74931108	CCDC142	coiled-coil domain containing 142
1554451_s_at	3.97e-15	2.36e-18	-9.56038	31.03994	-1.30065273	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14
1558755_x_at	4.25e-15	2.93e-18	-9.5287234	30.829722	-0.74030144	ZNF763	zinc finger protein 763
203413_at	4.25e-15	2.95e-18	-9.5278359	30.823833	-1.72567759	NELL2	neural EGFL like 2
213693_s_at	4.25e-15	3.16e-18	9.5176105	30.755993	2.7913595	MUC1	mucin 1, cell surface associated
227172_at	4.60e-15	3.86e-18	-9.4882457	30.56134	-0.94985504	TMEM116	transmembrane protein 116
212852_s_at	4.60e-15	3.87e-18	9.4877038	30.55775	0.86838724	TROVE2	TROVE domain family member 2
221143_at	8.39e-15	8.00e-18	9.3812388	29.854114	0.98897336	RPA4	replication protein A4
235014_at	8.39e-15	8.14e-18	-9.3785169	29.836168	-0.99054713	ILF3-AS1	ILF3 antisense RNA 1 (head to head)
200999_s_at	8.39e-15	8.31e-18	9.3755652	29.816709	1.08067295	CKAP4	cytoskeleton associated protein 4
204185_x_at	1.01e-14	1.05e-17	-9.3411888	29.590279	-0.72335404	PPID	peptidylprolyl isomerase D
220317_at	1.34e-14	1.46e-17	-9.2926358	29.271069	-1.64816952	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
1553972_a_at	1.50e-14	1.71e-17	-9.2687092	29.114026	-1.88959108	CBS	cystathionine-beta-synthase
222619_at	1.67e-14	1.98e-17	9.2471709	28.972807	1.19070819	ZNF281	zinc finger protein 281
209596_at	2.08e-14	2.58e-17	9.2079546	28.716044	1.74384072	MXRA5	matrix remodeling associated 5
213710_s_at	2.41e-14	3.10e-17	-9.1807498	28.538203	-0.74770571	CALM1	calmodulin 1
1568592_at	2.50e-14	3.35e-17	9.169425	28.46424	1.08078268	TRIM69	tripartite motif containing 69
206775_at	4.88e-14	6.77e-17	-9.0643565	27.779945	-2.32717956	CUBN	cubilin
217802_s_at	5.22e-14	7.50e-17	9.0490254	27.680389	1.08100419	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1
221829_s_at	6.10e-14	9.07e-17	9.0206042	27.496031	0.7374086	TNPO1	transportin 1
212251_at	7.36e-14	1.13e-16	8.9875249	27.281787	0.56369084	MTDH	metadherin
211303_x_at	9.78e-14	1.55e-16	8.9400766	26.975106	3.57293187	FOLH1B	folate hydrolase 1B
218158_s_at	1.00e-13	1.63e-16	-8.9321604	26.924012	-0.7213567	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
201244_s_at	1.17e-13	1.97e-16	-8.9044634	26.745409	-0.51266104	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
213507_s_at	1.35e-13	2.33e-16	8.8785383	26.578465	0.69893221	KPNB1	karyopherin subunit beta 1
205990_s_at	1.36e-13	2.42e-16	8.8731237	26.543627	2.04422149	WNT5A	Wnt family member 5A
1553809_a_at	1.69e-13	3.14e-16	-8.8337201	26.290393	-2.28074549	TMEM252	transmembrane protein 252
207368_at	1.69e-13	3.19e-16	-8.8312486	26.274527	-0.97495336	HTR1D	5-hydroxytryptamine receptor 1D
202917_s_at	1.69e-13	3.26e-16	8.8279257	26.253199	3.51861054	S100A8	S100 calcium binding protein A8
201853_s_at	1.71e-13	3.51e-16	8.8169393	26.182709	1.07045406	CDC25B	cell division cycle 25B
228123_s_at	1.71e-13	3.54e-16	-8.8155707	26.173931	-1.26163972	ABHD12	abhydrolase domain containing 12
214749_s_at	1.71e-13	3.55e-16	8.8151954	26.171523	0.77089728	ARMCX6	armadillo repeat containing, X-linked 6
202859_x_at	2.16e-13	4.59e-16	8.7762144	25.921773	4.03054766	CXCL8	C-X-C motif chemokine ligand 8
229012_at	2.54e-13	5.55e-16	-8.7475942	25.738737	-1.67928113	C9orf24	chromosome 9 open reading frame 24
238768_at	3.68e-13	8.20e-16	-8.6880572	25.358893	-0.72242816	C2orf68	chromosome 2 open reading frame 68
203773_x_at	4.23e-13	9.80e-16	8.6609113	25.186116	1.06156432	BLVRA	biliverdin reductase A
205750_at	4.23e-13	9.84e-16	-8.6602344	25.181812	-1.32400299	BPHL	biphenyl hydrolase like
226422_at	6.67e-13	1.59e-15	8.5872818	24.718807	0.77130071	ERGIC2	ERGIC and golgi 2
204245_s_at	7.50e-13	1.82e-15	-8.5661482	24.585037	-0.60346766	RPP14	ribonuclease P/MRP subunit p14
201063_at	8.26e-13	2.05e-15	8.5482095	24.471618	1.02809237	RCN1	reticulocalbin 1
206059_at	8.48e-13	2.15e-15	-8.5407676	24.4246	-1.31580041	ZNF91	zinc finger protein 91
235368_at	8.48e-13	2.18e-15	8.5381868	24.408299	1.45631726	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
213229_at	8.52e-13	2.24e-15	8.5345333	24.385227	0.90077234	DICER1	dicer 1, ribonuclease III
224644_at	9.52e-13	2.55e-15	-8.5146834	24.25996	-0.6744749	FGD5-AS1	FGD5 antisense RNA 1
200887_s_at	1.00e-12	2.73e-15	8.5040423	24.192867	1.19672911	STAT1	signal transducer and activator of transcription 1
223628_at	1.05e-12	2.94e-15	-8.4923765	24.119361	-0.64520474	TMEM191A	transmembrane protein 191A (pseudogene)
236562_at	1.05e-12	2.95e-15	-8.491965	24.116769	-1.07302469	ZNF439	zinc finger protein 439
203267_s_at	1.06e-12	3.04e-15	-8.4874537	24.088357	-0.58645081	DRG2	developmentally regulated GTP binding protein 2
213205_s_at	1.37e-12	4.04e-15	8.4434769	23.811794	0.62517754	RAD54L2	RAD54-like 2 (S. cerevisiae)
221692_s_at	1.37e-12	4.08e-15	-8.4421117	23.80322	-0.71401542	MRPL34	mitochondrial ribosomal protein L34
1557575_at	1.51e-12	4.57e-15	-8.4245023	23.692688	-0.86081393	STBD1	starch binding domain 1
204821_at	1.87e-12	5.75e-15	8.3889053	23.469608	0.81376474	BTN3A3	butyrophilin subfamily 3 member A3
202022_at	2.19e-12	6.85e-15	-8.3618083	23.300117	-1.57645188	ALDOC	aldolase, fructose-bisphosphate C
242414_at	2.85e-12	9.03e-15	-8.3189388	23.032544	-1.01343469	QPRT	quinolinate phosphoribosyltransferase
213922_at	3.17e-12	1.04e-14	8.297599	22.899612	1.07332314	TTBK2	tau tubulin kinase 2
217947_at	3.17e-12	1.04e-14	8.297423	22.898517	0.89502183	CMTM6	CKLF like MARVEL transmembrane domain containing 6
200629_at	3.48e-12	1.16e-14	8.2804918	22.793175	1.56739668	WARS	tryptophanyl-tRNA synthetase
225832_s_at	3.68e-12	1.24e-14	-8.2694197	22.724347	-0.71734769	DAGLB	diacylglycerol lipase beta
242871_at	3.70e-12	1.26e-14	-8.2665746	22.706668	-2.1337224	PAQR5	progestin and adipoQ receptor family member 5
1554246_at	3.72e-12	1.29e-14	-8.2633526	22.686652	-1.77538366	C1orf210	chromosome 1 open reading frame 210
223092_at	4.35e-12	1.53e-14	-8.2365707	22.520428	-0.98648668	ANKH	ANKH inorganic pyrophosphate transport regulator
242305_at	5.08e-12	1.81e-14	-8.2101959	22.357006	-0.65211008	LOC645513	septin 7 pseudogene
213399_x_at	5.16e-12	1.87e-14	8.2055108	22.328005	0.68418367	RPN2	ribophorin II
212912_at	5.19e-12	1.90e-14	8.202671	22.310431	1.16265577	RPS6KA2	ribosomal protein S6 kinase A2
205025_at	5.97e-12	2.22e-14	-8.178253	22.159451	-0.66896633	ZBTB48	zinc finger and BTB domain containing 48
207502_at	5.97e-12	2.25e-14	-8.1765276	22.148792	-3.05472101	GUCA2B	guanylate cyclase activator 2B
232064_at	7.15e-12	2.73e-14	8.1460692	21.960817	0.91395078	FER	FER tyrosine kinase
225129_at	8.66e-12	3.35e-14	-8.1138824	21.76258	-1.12806548	CPNE2	copine 2
226474_at	1.08e-11	4.27e-14	8.0752855	21.525416	1.13984728	NLRC5	NLR family CARD domain containing 5
1557192_at	1.08e-11	4.28e-14	-8.0750328	21.523864	-0.6175635	COX10-AS1	COX10 antisense RNA 1
227446_s_at	1.21e-11	4.86e-14	-8.0549816	21.400898	-1.00080401	DHRS4-AS1	DHRS4 antisense RNA 1
219727_at	1.37e-11	5.55e-14	8.0337934	21.271137	3.75255059	DUOX2	dual oxidase 2
214723_x_at	1.40e-11	5.76e-14	8.0281114	21.236371	1.5750312	ANKRD36	ankyrin repeat domain 36
217762_s_at	1.50e-11	6.25e-14	8.0151141	21.156895	1.64285449	RAB31	RAB31, member RAS oncogene family
209351_at	1.78e-11	7.51e-14	-7.9859929	20.979077	-1.28567595	KRT14	keratin 14
203052_at	1.85e-11	7.88e-14	7.9782296	20.931733	1.04827813	C2	complement component 2
207618_s_at	1.94e-11	8.37e-14	-7.9686841	20.873554	-0.51658075	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
235689_at	2.10e-11	9.16e-14	-7.9543402	20.786201	-0.64529061	MTFMT	mitochondrial methionyl-tRNA formyltransferase
1557776_at	2.58e-11	1.14e-13	-7.9199426	20.577075	-0.60149387	LOC101928303	uncharacterized LOC101928303
221596_s_at	2.72e-11	1.21e-13	-7.9095024	20.5137	-0.77941488	RBM48	RNA binding motif protein 48
223502_s_at	2.77e-11	1.25e-13	7.9048403	20.485415	1.58646333	TNFSF13B	tumor necrosis factor superfamily member 13b
229520_s_at	2.80e-11	1.28e-13	7.901502	20.465168	1.2013804	GPATCH2L	G-patch domain containing 2 like
213880_at	3.12e-11	1.44e-13	-7.882525	20.350154	-2.44325308	LGR5	leucine rich repeat containing G protein-coupled receptor 5
209741_x_at	3.84e-11	1.79e-13	-7.8476272	20.139052	-1.18956002	SCAPER	S-phase cyclin A associated protein in the ER
204992_s_at	4.29e-11	2.02e-13	-7.8281305	20.02134	-1.09670588	PFN2	profilin 2
222620_s_at	4.38e-11	2.08e-13	7.8230868	19.990915	0.83211116	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1
204158_s_at	4.55e-11	2.19e-13	7.8151608	19.943125	0.90124745	TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3
202135_s_at	4.98e-11	2.42e-13	-7.7990302	19.84595	-0.47372215	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta
201694_s_at	5.15e-11	2.52e-13	7.7921485	19.804527	2.0041752	EGR1	early growth response 1
219991_at	5.18e-11	2.56e-13	-7.7895767	19.789052	-0.82354479	SLC2A9	solute carrier family 2 member 9
1554668_a_at	5.39e-11	2.70e-13	-7.7815808	19.740957	-2.9326837	FAM151A	family with sequence similarity 151 member A
203535_at	6.05e-11	3.08e-13	7.7599822	19.611181	2.89182542	S100A9	S100 calcium binding protein A9
229553_at	6.05e-11	3.09e-13	7.7597269	19.609648	1.27753931	PGM2L1	phosphoglucomutase 2 like 1
207698_at	6.20e-11	3.19e-13	-7.7542735	19.576913	-0.70410796	LINC01558	long intergenic non-protein coding RNA 1558
202307_s_at	6.36e-11	3.31e-13	7.7484429	19.54193	0.93106884	TAP1	transporter 1, ATP binding cassette subfamily B member
204007_at	6.62e-11	3.48e-13	7.7406065	19.494934	2.75326777	FCGR3B	Fc fragment of IgG receptor IIIb
226393_at	6.91e-11	3.67e-13	-7.732003	19.443369	-0.72916404	CYP2U1	cytochrome P450 family 2 subfamily U member 1
1553581_s_at	6.95e-11	3.72e-13	7.7297373	19.429795	0.54769666	SREK1IP1	SREK1 interacting protein 1
204048_s_at	7.31e-11	3.95e-13	7.7199727	19.37132	0.62258518	PHACTR2	phosphatase and actin regulator 2
203837_at	7.44e-11	4.07e-13	7.7151562	19.342493	0.63566496	MAP3K5	mitogen-activated protein kinase kinase kinase 5
202237_at	7.44e-11	4.09e-13	7.7141624	19.336546	2.14969987	LOC101928916///NNMT	uncharacterized LOC101928916///nicotinamide N-methyltransferase
208557_at	7.51e-11	4.16e-13	-7.7113687	19.319831	-0.79034124	HOXA6	homeobox A6
227048_at	8.60e-11	4.82e-13	-7.6877721	19.178787	-1.91368222	LAMA1	laminin subunit alpha 1
225947_at	8.60e-11	4.87e-13	-7.6861341	19.169005	-0.61450883	MYO19	myosin XIX
204282_s_at	8.60e-11	4.90e-13	7.6851142	19.162915	0.4434274	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial
218914_at	1.01e-10	5.82e-13	-7.6571439	18.996081	-0.55506081	RRNAD1	ribosomal RNA adenine dimethylase domain containing 1
1559532_at	1.02e-10	5.91e-13	-7.6545271	18.980491	-0.59518707	ARIH2OS	ariadne homolog 2 opposite strand
214045_at	1.17e-10	6.84e-13	-7.6307956	18.839241	-0.86394671	LIAS	lipoic acid synthetase
217867_x_at	1.17e-10	6.89e-13	7.6296545	18.832456	1.18387594	BACE2	beta-site APP-cleaving enzyme 2
201024_x_at	1.20e-10	7.14e-13	7.6237441	18.797319	0.75610232	EIF5B	eukaryotic translation initiation factor 5B
224887_at	1.26e-10	7.56e-13	-7.6144314	18.741989	-0.44358419	GNPTG	N-acetylglucosamine-1-phosphate transferase gamma subunit
1554555_a_at	1.27e-10	7.68e-13	-7.6118543	18.726684	-0.59975703	SETD6	SET domain containing 6
221023_s_at	1.38e-10	8.41e-13	-7.5971105	18.639182	-0.82410694	KCNH6	potassium voltage-gated channel subfamily H member 6
226761_at	1.43e-10	8.80e-13	7.5897374	18.59546	0.576562	IKZF4	IKAROS family zinc finger 4
228648_at	1.50e-10	9.35e-13	7.5798637	18.53695	1.13987351	LRG1	leucine rich alpha-2-glycoprotein 1
214948_s_at	1.50e-10	9.37e-13	7.5794436	18.534461	0.61478003	TMF1	TATA element modulatory factor 1
1558953_s_at	1.54e-10	9.69e-13	7.573953	18.501945	0.81211358	CEP164	centrosomal protein 164
