ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_32_P95147	2.27e-24	5.55e-29	15.7404732	55.0930471	0.92677295	LINC00963	long intergenic non-protein coding RNA 963
A_23_P60259	9.27e-22	4.52e-26	-14.307329	48.5890456	-0.9529866	TMEM38B	transmembrane protein 38B
A_23_P151851	3.08e-21	2.25e-25	13.9713508	47.0267176	3.2167958	DUOX2	dual oxidase 2
A_24_P48898	3.67e-21	3.58e-25	13.8749698	46.5760247	1.106566	APOL2	apolipoprotein L2
A_24_P826046	4.99e-21	6.80e-25	13.7418083	45.9515309	0.82762105	LINC00963	long intergenic non-protein coding RNA 963
A_32_P205624	4.99e-21	7.30e-25	13.7270457	45.88217	1.1442309	SHC2	SHC adaptor protein 2
A_24_P87931	6.10e-21	1.14e-24	13.634344	45.446039	1.44273732	APOL1	apolipoprotein L1
A_23_P75369	6.10e-21	1.19e-24	13.6262037	45.407694	0.90946847	TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3
A_23_P169437	1.13e-20	2.48e-24	13.4744987	44.691697	3.3705323	LCN2	lipocalin 2
A_23_P335920	1.28e-20	3.13e-24	13.4264424	44.4643422	1.11657882	RPS6KA2	ribosomal protein S6 kinase A2
A_24_P406006	2.51e-20	6.73e-24	13.2692869	43.7190348	1.38187656	LPCAT1	lysophosphatidylcholine acyltransferase 1
A_23_P7144	2.74e-20	8.02e-24	13.2334302	43.5486024	4.3128726	CXCL1	C-X-C motif chemokine ligand 1
A_24_P35905	4.25e-20	1.35e-23	13.1271239	43.0424893	2.37237746	DUOX2	dual oxidase 2
A_24_P788878	7.01e-20	2.39e-23	13.0097606	42.4823247	2.11977552	C2CD4B	C2 calcium dependent domain containing 4B
A_23_P502464	1.48e-19	5.42e-23	12.8435154	41.6863727	2.61334802	NOS2	nitric oxide synthase 2
A_23_P383009	1.22e-18	4.75e-22	12.4037357	39.5673949	2.66434883	IGFBP5	insulin like growth factor binding protein 5
A_23_P138680	2.01e-18	8.33e-22	12.2906598	39.0195802	0.9112397	IL15RA	interleukin 15 receptor subunit alpha
A_24_P278156	1.73e-17	7.58e-21	-11.8480364	36.8644326	-0.61759026	TMEM38B	transmembrane protein 38B
