ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1657871	7.75e-47	5.50e-51	20.220282	105.262567	3.7560738	RSAD2	radical S-adenosyl methionine domain containing 2
ILMN_1835092	1.77e-45	2.77e-49	19.649073	101.394771	3.764198	IFI44L	interferon induced protein 44 like
ILMN_1760062	1.77e-45	3.78e-49	19.604214	101.089463	2.7450895	IFI44	interferon induced protein 44
ILMN_1723912	1.14e-44	3.24e-48	19.293324	98.967531	3.5508695	IFI44L	interferon induced protein 44 like
ILMN_1706502	3.17e-44	1.13e-47	19.114067	97.739304	1.8679153	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
ILMN_1765994	4.83e-44	2.06e-47	19.027305	97.143607	2.0646941	ZBP1	Z-DNA binding protein 1
ILMN_1709333	7.42e-43	3.69e-46	18.613861	94.294301	2.6168504	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1683865	7.38e-42	4.48e-45	18.258051	91.828534	2.7183537	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1812740	7.38e-42	4.71e-45	18.250817	91.778277	2.3349571	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1688659	3.32e-39	2.35e-42	17.372191	85.638832	1.830139	IL1RN	interleukin 1 receptor antagonist
ILMN_1688566	3.41e-39	2.66e-42	17.354907	85.517396	2.2167049	EPSTI1	epithelial stromal interaction 1 (breast)
ILMN_1664543	1.95e-38	1.66e-41	17.097831	83.708413	3.0547135	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1695404	7.55e-38	7.57e-41	16.885275	82.208906	2.6974636	LY6E	lymphocyte antigen 6 complex, locus E
ILMN_1795181	7.55e-38	7.88e-41	16.879727	82.169718	1.9546131	DDX60	DEXD/H-box helicase 60
ILMN_1675640	7.55e-38	8.04e-41	16.87688	82.14961	2.4923336	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_1729749	8.38e-38	9.51e-41	16.853263	81.982783	2.3023431	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
ILMN_1683678	1.67e-37	2.01e-40	16.748543	81.242584	2.5643877	SPATS2L	spermatogenesis associated serine rich 2 like
ILMN_1707695	1.93e-37	2.46e-40	16.720426	81.043711	2.7532057	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_1787509	5.63e-37	7.95e-40	16.556584	79.883798	1.6032382	HELZ2	helicase with zinc finger 2
ILMN_1745397	5.63e-37	7.99e-40	16.555887	79.878858	2.5933305	OAS3	2'-5'-oligoadenylate synthetase 3
ILMN_1674891	1.65e-36	2.46e-39	16.398869	78.765608	1.9662983		
ILMN_1742618	2.63e-36	4.11e-39	16.3277	78.260516	2.0590626	XAF1	XIAP associated factor 1
ILMN_1681721	2.89e-36	4.73e-39	16.308165	78.121828	2.4597968	OASL	2'-5'-oligoadenylate synthetase like
ILMN_1755910	5.64e-36	9.60e-39	16.209521	77.421136	1.8459872		
ILMN_1781373	9.11e-36	1.62e-38	16.137011	76.905719	1.5996022	IFIH1	interferon induced with helicase C domain 1
ILMN_1701789	1.80e-35	3.33e-38	16.036551	76.191158	2.3680584	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1674811	1.19e-34	2.27e-37	15.769912	74.292056	2.2304944	OASL	2'-5'-oligoadenylate synthetase like
ILMN_1662358	2.91e-34	5.78e-37	15.640523	73.369284	2.1297728	MX1	MX dynamin like GTPase 1
ILMN_1739428	6.37e-34	1.31e-36	15.527034	72.559313	1.5696866	IFIT2	interferon induced protein with tetratricopeptide repeats 2
ILMN_1656910	6.88e-34	1.46e-36	15.511623	72.449281	2.3404656	TRIM6	tripartite motif containing 6
ILMN_1805750	9.26e-34	2.04e-36	15.465855	72.122464	2.4116127	IFITM3	interferon induced transmembrane protein 3
ILMN_1719734	1.61e-33	3.65e-36	15.385336	71.547295	1.9270015	LAMP3	lysosomal associated membrane protein 3
ILMN_1848843	5.40e-33	1.26e-35	15.2133	70.317648	2.3432645		
ILMN_1672606	5.50e-33	1.33e-35	15.206439	70.268592	2.5675752	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_1674063	1.23e-32	3.05e-35	15.091672	69.447738	1.9120731	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1813289	4.15e-32	1.06e-34	14.919379	68.214787	2.7395644	ISG15	ISG15 ubiquitin-like modifier
ILMN_1748256	4.34e-32	1.14e-34	14.909185	68.141815	1.608975	SAMD9L	sterile alpha motif domain containing 9 like
ILMN_1788013	6.77e-32	1.83e-34	14.844122	67.676022	1.9534629	RTP4	receptor transporter protein 4
ILMN_1703108	1.07e-31	2.97e-34	14.776906	67.194726	1.2679049	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1654639	1.21e-31	3.43e-34	14.756999	67.052175	1.7055481	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
ILMN_1654812	6.41e-31	1.86e-33	14.523308	65.37824	1.441334	UNC93B1	unc-93 homolog B1 (C. elegans)
ILMN_1763508	1.08e-30	3.21e-33	14.448106	64.839443	1.4642731	ARHGAP25	Rho GTPase activating protein 25
ILMN_1767787	1.12e-30	3.43e-33	14.439314	64.776446	1.0560547	BTN2A2	butyrophilin subfamily 2 member A2
ILMN_1752889	1.49e-30	4.66e-33	14.396789	64.471751	1.6647764	PLSCR1	phospholipid scramblase 1
ILMN_1690105	6.70e-30	2.14e-32	14.186377	62.964057	1.2684345	STAT1	signal transducer and activator of transcription 1
ILMN_1704972	1.09e-29	3.58e-32	14.115411	62.455564	1.2853778	TRIM5	tripartite motif containing 5
ILMN_1810608	1.09e-29	3.64e-32	14.113009	62.438349	1.318833	PNPT1	polyribonucleotide nucleotidyltransferase 1
ILMN_1810213	1.09e-29	3.70e-32	14.110647	62.421427	1.646499	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1731224	1.92e-29	6.69e-32	14.028914	61.835826	1.3239036	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_1785732	3.44e-29	1.22e-31	13.946099	61.242528	1.638174	TNFAIP6	TNF alpha induced protein 6
ILMN_1779252	3.97e-29	1.44e-31	13.923385	61.079813	1.325318	TRIM22	tripartite motif containing 22
ILMN_1696654	5.65e-29	2.09e-31	13.871923	60.711195	1.4731682	IFIT5	interferon induced protein with tetratricopeptide repeats 5
ILMN_1910908	1.24e-28	4.72e-31	13.759053	59.902846	2.1545248		
ILMN_1783753	1.24e-28	4.74e-31	-13.75868	59.900172	-1.143785	TXNDC12	thioredoxin domain containing 12
