ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AGhsB131502	1.96e-21	2.07e-25	-15.970418	46.98654	-1.3467879		
AGhsA220908	1.96e-21	2.60e-25	15.905422	46.76635	1.8804141	HERC5	hect domain and RLD 5
AGhsA150420	1.92e-20	3.82e-24	-15.158009	44.19277	-1.4461818	SPOP	speckle-type POZ protein
AGhsB010709	3.74e-20	9.94e-24	-14.896946	43.27576	-1.5624848		
AGhsC051424	2.17e-18	8.16e-22	-13.722017	39.03244	-2.0031515		
AGhsC080307	2.17e-18	8.66e-22	-13.70635	38.97457	-1.3718485		
AGhsB200204	3.32e-18	1.54e-21	13.555743	38.41662	1.542798		
AGhsA060914	4.79e-18	2.54e-21	13.426362	37.93484	1.774101	ISG15	ISG15 ubiquitin-like modifier
AGhsA021513	1.46e-17	8.97e-21	13.101767	36.71617	1.8038788	FAM14A	family with sequence similarity 14, member A
AGhsA030508	1.46e-17	9.69e-21	13.081939	36.64127	1.0302121	LRRC37A	leucine rich repeat containing 37A
AGhsB251606	1.61e-17	1.17e-20	13.033031	36.45629	1.5202828		
AGhsA091609	5.26e-17	4.19e-20	12.709218	35.22355	1.3720808	OASL	2'-5'-oligoadenylate synthetase-like
AGhsA231009	7.28e-17	6.69e-20	12.591358	34.77144	1.4226364	TNFAIP6	tumor necrosis factor, alpha-induced protein 6
AGhsA190305	7.28e-17	6.77e-20	12.588252	34.7595	1.2673737	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
AGhsC011013	2.08e-16	2.07e-19	12.307716	33.67599	1.7915051	ARMC6///SFRS14	armadillo repeat containing 6///splicing factor, arginine/serine-rich 14
AGhsB141508	1.42e-15	1.50e-18	11.815504	31.75085	1.0294747		
AGhsA150622	1.62e-15	1.82e-18	11.76799	31.56342	1.1357273	GABARAP	GABA(A) receptor-associated protein
AGhsB111206	2.15e-15	2.57e-18	11.683602	31.22988	0.6939596	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
AGhsC201221	3.27e-15	4.12e-18	-11.567922	30.77127	-0.901697		
AGhsB181310	8.11e-15	1.08e-17	11.33394	29.83886	1.0932525		
AGhsB050509	1.23e-14	1.72e-17	-11.220369	29.38402	-0.8992626	HEYL	hairy/enhancer-of-split related with YRPW motif-like
AGhsB170206	1.85e-14	2.70e-17	-11.110583	28.94298	-1.2567071		
AGhsA020707	3.17e-14	4.84e-17	-10.969839	28.37562	-0.7417273	PHF1	PHD finger protein 1
AGhsB041616	5.08e-14	8.09e-17	-10.846306	27.87591	-1.1606566	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2
AGhsA121124	8.48e-14	1.41e-16	10.713514	27.33698	1.1777374	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
AGhsB221223	8.94e-14	1.54e-16	10.691482	27.24739	1.027899	CHRNA9	cholinergic receptor, nicotinic, alpha 9
