ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
237781_at	8.08e-08	4.28e-12	8.601056	17.13665	1.1750492	HORMAD2	HORMA domain containing 2
232517_s_at	8.08e-08	7.14e-12	8.470651	16.654733	1.44563337	HELZ2	helicase with zinc finger 2
200089_s_at	1.62e-07	2.15e-11	-8.19068	15.616438	-0.85487557	SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4
200081_s_at	1.74e-07	3.07e-11	-8.100199	15.279967	-0.92645765	RPS6	ribosomal protein S6
227609_at	2.11e-07	4.67e-11	7.994164	14.885172	1.60091262	EPSTI1	epithelial stromal interaction 1 (breast)
228664_at	2.25e-07	6.57e-11	-7.907555	14.56237	-2.04701184	TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)
223287_s_at	2.25e-07	6.94e-11	-7.893866	14.511324	-1.26151801	FOXP1	forkhead box P1
227807_at	2.51e-07	8.85e-11	7.832307	14.281698	1.16934996	PARP9	poly(ADP-ribose) polymerase family member 9
226702_at	4.82e-07	1.91e-10	7.637333	13.553722	2.09974997	CMPK2	cytidine/uridine monophosphate kinase 2
200082_s_at	9.43e-07	4.86e-10	-7.401876	12.673771	-0.82052973	RPS7	ribosomal protein S7
200074_s_at	9.43e-07	4.96e-10	-7.396769	12.654682	-0.72957373	RPL14	ribosomal protein L14
224300_x_at	9.43e-07	5.00e-10	7.394636	12.646708	1.66010598	FTCD	formimidoyltransferase cyclodeaminase
229373_at	1.03e-06	5.94e-10	7.351268	12.484604	1.0735129		
232680_at	1.35e-06	8.36e-10	7.264581	12.160602	0.72156709	HDGFL1	hepatoma derived growth factor-like 1
238156_at	1.40e-06	9.27e-10	-7.238501	12.063138	-1.16436938		
239988_at	1.47e-06	1.07e-09	7.201477	11.924788	0.89039213		
227937_at	1.47e-06	1.10e-09	7.194604	11.899107	0.9213853	MYPOP	Myb related transcription factor, partner of profilin
238418_at	1.68e-06	1.34e-09	-7.145829	11.716885	-2.0122384	SLC35B4	solute carrier family 35 member B4
200036_s_at	1.79e-06	1.50e-09	-7.11592	11.605169	-0.81758363	RPL10A	ribosomal protein L10a
223220_s_at	2.32e-06	2.12e-09	7.029692	11.283208	1.2477631	PARP9	poly(ADP-ribose) polymerase family member 9
238180_at	2.32e-06	2.15e-09	7.02523	11.266556	1.5847542	LOC102724094	uncharacterized LOC102724094
242625_at	2.36e-06	2.29e-09	7.009067	11.206232	2.48813322	RSAD2	radical S-adenosyl methionine domain containing 2
232331_at	2.42e-06	2.46e-09	6.991352	11.140122	1.00363894		
223553_s_at	2.66e-06	2.82e-09	6.957115	11.012388	1.13390476	DOK3	docking protein 3
200092_s_at	2.76e-06	3.06e-09	-6.935703	10.932521	-0.61344532	RPL37	ribosomal protein L37
200032_s_at	2.76e-06	3.17e-09	-6.927179	10.900736	-0.58014678	RPL9	ribosomal protein L9
225818_s_at	3.01e-06	3.78e-09	-6.882699	10.7349	-1.12781002	TBRG1	transforming growth factor beta regulator 1
236077_at	3.01e-06	3.79e-09	6.882112	10.73271	0.77419235	GANC	glucosidase alpha, neutral C
200038_s_at	3.01e-06	4.10e-09	-6.861802	10.657017	-0.59600297	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17
229450_at	3.01e-06	4.21e-09	6.855177	10.632328	2.36080866	IFIT3	interferon induced protein with tetratricopeptide repeats 3
226153_s_at	3.01e-06	4.23e-09	-6.853718	10.626892	-0.72944225	CNOT6L	CCR4-NOT transcription complex subunit 6 like
225542_at	3.01e-06	4.26e-09	6.852209	10.621271	0.80819288	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
235276_at	3.21e-06	4.79e-09	6.822535	10.510725	1.54692337	EPSTI1	epithelial stromal interaction 1 (breast)
227722_at	3.21e-06	4.82e-09	-6.820603	10.503529	-1.07978132	RPS23	ribosomal protein S23
230360_at	4.40e-06	6.80e-09	6.733232	10.178301	1.30480235	GLDN	gliomedin
231263_at	4.90e-06	7.91e-09	6.694785	10.035316	1.20831947	ARMC12	armadillo repeat containing 12
