ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1755808	1.31e-13	8.93e-18	-1.35e+01	30.04402	-1.66335		
ILMN_1681590	9.52e-13	1.86e-16	1.25e+01	27.14084	0.9851282		
ILMN_2109526	9.52e-13	1.98e-16	1.25e+01	27.07942	1.4424525		
ILMN_1723912	9.52e-13	2.59e-16	1.24e+01	26.82313	3.4573044	IFI44L	interferon induced protein 44 like
ILMN_1745397	1.49e-12	5.05e-16	1.21e+01	26.18132	2.9952678	OAS3	2'-5'-oligoadenylate synthetase 3
ILMN_2388547	1.58e-12	6.46e-16	1.20e+01	25.94449	2.4461344	EPSTI1	epithelial stromal interaction 1 (breast)
ILMN_1733559	1.73e-12	8.78e-16	-1.19e+01	25.64944	-1.8270923	RNA28S5	RNA, 28S ribosomal 5
ILMN_1657871	1.73e-12	9.41e-16	1.19e+01	25.58183	3.4441058	RSAD2	radical S-adenosyl methionine domain containing 2
ILMN_2398865	2.97e-12	2.00e-15	1.17e+01	24.85513	1.3765314	VPS13C	vacuolar protein sorting 13 homolog C
ILMN_1746375	2.97e-12	2.02e-15	1.17e+01	24.8467	1.120129		
ILMN_1765829	6.65e-12	4.97e-15	-1.14e+01	23.9785	-1.0195144	NUFIP2	NUFIP2, FMR1 interacting protein 2
ILMN_2410826	1.19e-11	9.72e-15	1.11e+01	23.3303	2.4535418	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_1760062	1.41e-11	1.30e-14	1.11e+01	23.05321	2.5754363	IFI44	interferon induced protein 44
ILMN_1699331	1.41e-11	1.39e-14	1.10e+01	22.98616	2.8137656	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_1706502	1.41e-11	1.44e-14	1.10e+01	22.95	1.7297545	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
ILMN_1835092	1.62e-11	1.76e-14	1.10e+01	22.75773	3.1917886	IFI44L	interferon induced protein 44 like
ILMN_1805726	2.09e-11	2.41e-14	1.08e+01	22.45154	0.9357879		
ILMN_1795181	5.45e-11	6.67e-14	1.05e+01	21.46703	1.9907653	DDX60	DEXD/H-box helicase 60
ILMN_1808591	6.47e-11	8.35e-14	1.05e+01	21.24906	0.9246774		
ILMN_2390586	6.89e-11	9.37e-14	1.04e+01	21.1379	1.056223	SP100	SP100 nuclear antigen
ILMN_2360291	8.44e-11	1.20e-13	1.03e+01	20.8945	0.7107518	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1
ILMN_1687201	1.02e-10	1.53e-13	1.03e+01	20.66454	1.4887179	APOL6	apolipoprotein L6
ILMN_2054019	1.08e-10	1.68e-13	1.02e+01	20.57068	2.886117	ISG15	ISG15 ubiquitin-like modifier
ILMN_1736729	1.10e-10	1.79e-13	1.02e+01	20.51063	2.3093398	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1654639	1.27e-10	2.15e-13	1.02e+01	20.33118	1.8509585	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
ILMN_1675640	1.33e-10	2.41e-13	1.01e+01	20.21957	2.4426993	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_1729115	1.33e-10	2.45e-13	1.01e+01	20.20733	1.2991905		
ILMN_1745242	1.34e-10	2.55e-13	1.01e+01	20.16821	1.9304487	PLSCR1	phospholipid scramblase 1
ILMN_1761969	1.72e-10	3.40e-13	1.00e+01	19.8882	1.1072717	DERL2	derlin 2
ILMN_2239754	1.98e-10	4.04e-13	9.96	19.72088	2.0924087	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1707448	2.96e-10	6.24e-13	9.82	19.2971	0.6775214	CDK12	cyclin dependent kinase 12
ILMN_1674063	3.18e-10	6.92e-13	9.79	19.19716	1.8780339	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1734316	3.21e-10	7.20e-13	9.78	19.15834	0.7803071	YME1L1	YME1 like 1 ATPase
ILMN_1681721	3.21e-10	7.53e-13	9.76	19.11488	2.1864539	OASL	2'-5'-oligoadenylate synthetase like
ILMN_1737015	3.21e-10	7.63e-13	-9.76	19.10209	-0.6702977	RPL39	ribosomal protein L39
ILMN_1701789	3.30e-10	8.06e-13	9.74	19.04904	2.173434	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1707695	3.79e-10	9.53e-13	9.69	18.88585	2.430278	IFIT1	interferon induced protein with tetratricopeptide repeats 1
ILMN_2284998	3.96e-10	1.02e-12	9.67	18.81826	0.9464265	SP100	SP100 nuclear antigen
ILMN_1729749	4.24e-10	1.12e-12	9.64	18.72699	2.1069966	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
ILMN_2058782	4.40e-10	1.20e-12	9.62	18.66061	3.8248031	IFI27	interferon alpha inducible protein 27
ILMN_1793846	4.40e-10	1.22e-12	9.61	18.64267	1.98007	BZW1	basic leucine zipper and W2 domains 1
ILMN_1683678	5.36e-10	1.53e-12	9.55	18.42641	2.9084365	SPATS2L	spermatogenesis associated serine rich 2 like
ILMN_1664543	5.84e-10	1.71e-12	9.51	18.31974	2.4886891	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ILMN_1750178	6.50e-10	1.98e-12	9.47	18.17334	0.9182731		
ILMN_1728699	6.50e-10	1.99e-12	9.47	18.17105	1.1787973	SPTY2D1	SPT2 chromatin protein domain containing 1
ILMN_2155719	6.96e-10	2.17e-12	9.44	18.08447	1.0842211	NBPF10	neuroblastoma breakpoint family member 10
ILMN_1803476	8.00e-10	2.55e-12	9.39	17.92795	0.6535017	KCTD20	potassium channel tetramerization domain containing 20
ILMN_1742332	1.55e-09	5.06e-12	9.18	17.26224	1.0530502	KCTD12	potassium channel tetramerization domain containing 12
ILMN_1742618	1.69e-09	5.64e-12	9.15	17.15619	1.8813115	XAF1	XIAP associated factor 1
ILMN_2370573	1.81e-09	6.14e-12	9.12	17.07369	2.0858931	XAF1	XIAP associated factor 1
