ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
205863_at	3.31e-84	6.06e-89	4.06e+01	191.7651815	9.80	S100A12
204385_at	1.72e-78	6.29e-83	3.70e+01	178.2137985	7.27	KYNU
207602_at	2.21e-78	1.21e-82	3.69e+01	177.5690621	7.64	TMPRSS11D
210663_s_at	4.44e-78	3.25e-82	3.66e+01	176.6052097	7.31	KYNU
243754_at	1.12e-75	1.02e-79	3.53e+01	170.957327	6.55	
205660_at	3.54e-74	3.89e-78	3.44e+01	167.3841197	7.95	OASL
1554914_at	9.14e-74	1.17e-77	3.41e+01	166.2999231	6.08	PLA2G4D
220528_at	1.05e-73	1.53e-77	3.41e+01	166.0367923	7.11	VNN3
216258_s_at	2.13e-73	3.51e-77	3.39e+01	165.2196168	5.97	SERPINB13
205513_at	9.65e-71	1.77e-74	3.25e+01	159.0966798	8.66	TCN1
211906_s_at	3.53e-68	7.10e-72	3.12e+01	153.1856276	9.60	SERPINB4
232220_at	1.13e-67	2.47e-71	3.09e+01	151.9540474	8.22	S100A7A
232074_at	6.76e-66	1.61e-69	3.00e+01	147.8348598	5.86	PRSS27
220664_at	5.75e-64	1.47e-67	2.91e+01	143.3711557	7.88	SPRR2C
220249_at	2.74e-62	7.53e-66	2.83e+01	139.4826593	5.36	HYAL4
233687_s_at	4.86e-62	1.42e-65	2.81e+01	138.8530234	4.78	KLK9///KLK8
205783_at	1.21e-61	3.76e-65	2.79e+01	137.8910339	6.58	KLK13
1569555_at	5.39e-61	1.77e-64	2.76e+01	136.3573996	7.40	GDA
206008_at	5.44e-61	1.89e-64	2.76e+01	136.2947625	5.10	TGM1
203127_s_at	6.44e-61	2.35e-64	2.76e+01	136.0767679	4.43	SPTLC2
214088_s_at	5.48e-60	2.10e-63	2.71e+01	133.9090372	4.51	FUT3
227458_at	3.45e-59	1.39e-62	2.68e+01	132.041535	5.48	CD274
217388_s_at	5.52e-59	2.32e-62	2.67e+01	131.5323612	5.89	KYNU
217315_s_at	1.15e-58	5.06e-62	2.65e+01	130.7615761	5.73	KLK13
219691_at	3.11e-58	1.42e-61	2.63e+01	129.7384554	5.10	SAMD9
210164_at	5.48e-58	2.61e-61	2.62e+01	129.1372838	5.92	GZMB
205844_at	1.25e-57	6.18e-61	2.60e+01	128.2824879	5.69	VNN1
240304_s_at	9.11e-57	4.66e-60	2.56e+01	126.2798908	5.06	TMC5
211362_s_at	1.31e-56	6.92e-60	2.56e+01	125.8882386	4.37	SERPINB13
243955_at	1.46e-56	8.00e-60	2.55e+01	125.7454006	5.14	
1558549_s_at	2.02e-56	1.15e-59	2.55e+01	125.387627	5.26	VNN1
202134_s_at	7.75e-56	4.54e-59	2.52e+01	124.0255512	5.22	WWTR1
206912_at	9.64e-56	5.82e-59	2.52e+01	123.7791382	5.48	FOXE1
224204_x_at	2.90e-55	1.80e-58	2.49e+01	122.6582782	5.43	ARNTL2
206472_s_at	3.23e-55	2.07e-58	2.49e+01	122.5202507	3.51	TLE3
210138_at	3.38e-55	2.22e-58	2.49e+01	122.4490092	4.76	RGS20
218810_at	6.03e-55	4.08e-58	2.48e+01	121.8481876	4.29	MIR6732///ZC3H12A
222866_s_at	8.44e-55	5.86e-58	2.47e+01	121.4883947	4.79	FLVCR2
220658_s_at	2.88e-54	2.05e-57	2.45e+01	120.2463778	5.08	ARNTL2
224239_at	4.37e-54	3.20e-57	2.44e+01	119.8066608	3.23	DEFB103A///DEFB103B
210038_at	6.87e-54	5.15e-57	2.43e+01	119.3330114	5.52	PRKCQ
226698_at	8.65e-54	6.64e-57	2.43e+01	119.0807072	5.36	FCHSD1
207367_at	9.54e-54	7.50e-57	2.42e+01	118.9603479	7.27	ATP12A
222904_s_at	1.44e-53	1.16e-56	2.42e+01	118.5290163	4.80	TMC5
1554406_a_at	2.63e-53	2.16e-56	2.41e+01	117.9104112	4.71	CLEC7A
237296_at	5.83e-53	4.91e-56	2.39e+01	117.0974697	4.45	
210413_x_at	8.06e-53	6.93e-56	2.38e+01	116.7547178	7.13	SERPINB4///SERPINB3
223278_at	1.31e-52	1.15e-55	2.37e+01	116.2494531	1.86	GJB2
202805_s_at	1.33e-52	1.19e-55	2.37e+01	116.2191856	1.40	ABCC1
219554_at	1.70e-52	1.55e-55	2.37e+01	115.955873	6.30	RHCG
227410_at	2.34e-52	2.18e-55	2.36e+01	115.6178652	2.75	FAM43A
204465_s_at	2.87e-52	2.74e-55	2.36e+01	115.3912261	4.98	INA
214490_at	2.87e-52	2.81e-55	2.36e+01	115.3671246	4.89	ARSF
209142_s_at	2.87e-52	2.84e-55	2.36e+01	115.3569033	1.60	UBE2G1
209231_s_at	3.12e-52	3.14e-55	2.36e+01	115.2571306	3.77	DCTN5
202086_at	7.17e-52	7.35e-55	2.34e+01	114.4121353	3.12	MX1
217272_s_at	8.98e-52	9.36e-55	2.34e+01	114.1722025	1.61	SERPINB13
236840_at	9.42e-52	1.00e-54	2.34e+01	114.1066198	4.00	C12orf56
209588_at	1.04e-51	1.12e-54	2.33e+01	113.9936131	4.64	EPHB2
225783_at	1.27e-51	1.39e-54	2.33e+01	113.7785653	1.58	UBE2F
1555756_a_at	1.47e-51	1.64e-54	2.33e+01	113.6134111	4.87	CLEC7A
232082_x_at	1.74e-51	1.97e-54	2.32e+01	113.4333508	2.28	SPRR3
32069_at	1.85e-51	2.13e-54	2.32e+01	113.3576466	1.42	N4BP1
210589_s_at	2.07e-51	2.42e-54	2.32e+01	113.2272853	1.78	GBAP1
208650_s_at	4.68e-51	5.57e-54	2.30e+01	112.4025334	2.72	CD24
206166_s_at	5.55e-51	6.70e-54	2.30e+01	112.2190683	1.84	CLCA2
209772_s_at	5.95e-51	7.29e-54	2.30e+01	112.1351433	4.41	CD24
226863_at	7.63e-51	9.49e-54	2.29e+01	111.8726675	1.75	FAM110C
41469_at	9.64e-51	1.22e-53	2.29e+01	111.6259172	3.35	PI3
202924_s_at	1.13e-50	1.45e-53	2.29e+01	111.4553097	3.87	PLAGL2
204527_at	1.69e-50	2.20e-53	2.28e+01	111.0396896	1.96	MYO5A
206561_s_at	2.53e-50	3.33e-53	2.27e+01	110.6252226	6.77	AKR1B10
216670_at	2.82e-50	3.77e-53	2.27e+01	110.503593	4.14	KLK13
231948_s_at	2.99e-50	4.04e-53	2.27e+01	110.4346403	1.67	UBE2F
225787_at	8.31e-50	1.14e-52	2.25e+01	109.4045401	1.90	UBE2F
204032_at	8.98e-50	1.26e-52	-2.25e+01	109.3041685	-2.89	BCAR3
209800_at	8.98e-50	1.27e-52	2.25e+01	109.301356	3.20	KRT16
214056_at	1.23e-49	1.75e-52	2.24e+01	108.9780006	1.64	MCL1
222981_s_at	1.46e-49	2.12e-52	2.24e+01	108.790736	1.41	RAB10
242458_at	1.98e-49	2.89e-52	2.23e+01	108.4795739	3.49	RALGPS2
228230_at	2.06e-49	3.05e-52	2.23e+01	108.428074	3.42	HELZ2
209514_s_at	2.09e-49	3.14e-52	2.23e+01	108.3997033	4.74	RAB27A
228806_at	2.68e-49	4.06e-52	-2.23e+01	108.1427674	-1.92	RORC
219716_at	3.02e-49	4.63e-52	2.23e+01	108.0123168	4.39	APOL6
203234_at	3.52e-49	5.47e-52	2.22e+01	107.8477386	3.56	UPP1
228531_at	4.27e-49	6.72e-52	2.22e+01	107.6430802	3.50	SAMD9
209093_s_at	4.70e-49	7.48e-52	2.22e+01	107.5373925	2.75	GBAP1///GBA
229635_at	4.87e-49	7.83e-52	2.22e+01	107.491151	3.52	LINC01094
227609_at	5.03e-49	8.19e-52	2.22e+01	107.4463649	5.13	EPSTI1
210797_s_at	7.31e-49	1.20e-51	2.21e+01	107.0644282	5.78	OASL
222878_s_at	9.62e-49	1.60e-51	2.20e+01	106.7810092	3.86	OTUB2
242218_at	1.02e-48	1.71e-51	2.20e+01	106.7144371	4.10	PPARD
242271_at	1.34e-48	2.27e-51	2.20e+01	106.4329667	4.91	SLC26A9
219403_s_at	1.35e-48	2.31e-51	2.20e+01	106.4154976	5.96	HPSE
201196_s_at	1.94e-48	3.37e-51	2.19e+01	106.0408316	2.08	AMD1
221107_at	2.11e-48	3.71e-51	2.19e+01	105.9462326	5.08	CHRNA9
231033_at	2.41e-48	4.27e-51	2.19e+01	105.8059502	6.19	DSC2
239648_at	2.87e-48	5.15e-51	2.18e+01	105.6210664	1.70	DCUN1D3
206753_at	3.67e-48	6.65e-51	2.18e+01	105.3673862	3.15	RDH16
235068_at	7.09e-48	1.30e-50	2.17e+01	104.7035914	1.68	ZDHHC21
233504_at	7.66e-48	1.42e-50	2.17e+01	104.6152549	5.33	C9orf84
230615_at	7.66e-48	1.43e-50	2.17e+01	104.6028561	2.56	DUOXA2
1558525_at	7.66e-48	1.44e-50	2.17e+01	104.596518	1.97	LOC101928595
229373_at	9.93e-48	1.89e-50	2.16e+01	104.3295856	5.44	
45633_at	1.03e-47	1.98e-50	2.16e+01	104.2839814	1.38	GINS3
238741_at	1.07e-47	2.08e-50	2.16e+01	104.2362266	4.38	FAM83A
205990_s_at	1.08e-47	2.12e-50	2.16e+01	104.2159525	2.74	WNT5A
202575_at	1.35e-47	2.67e-50	2.15e+01	103.985541	1.73	CRABP2
203740_at	1.48e-47	2.95e-50	2.15e+01	103.8851529	1.24	MPHOSPH6
231771_at	1.79e-47	3.60e-50	2.15e+01	103.6895346	1.23	GJB6
218719_s_at	2.00e-47	4.05e-50	2.15e+01	103.5712904	1.59	GINS3
205282_at	2.01e-47	4.12e-50	2.15e+01	103.5542913	3.58	LRP8
203418_at	2.82e-47	5.82e-50	2.14e+01	103.2117697	3.86	CCNA2
203779_s_at	3.48e-47	7.25e-50	2.14e+01	102.9938995	3.96	MPZL2
220318_at	3.76e-47	7.91e-50	2.14e+01	102.9064783	2.60	EPN3
