ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
207334_s_at	0.00000136	6.11e-11	-9.3861107	14.653486	-4.049257	TGFBR2	transforming growth factor beta receptor 2
214040_s_at	0.00000285	2.56e-10	-8.8487144	13.337473	-5.8195417	GSN	gelsolin
211277_x_at	0.00000801	1.08e-09	-8.3219704	12.005983	-2.2021166	APP	amyloid beta precursor protein
217248_s_at	0.00000974	2.18e-09	-8.0696152	11.353999	-4.0843679	SLC7A8	solute carrier family 7 member 8
214251_s_at	0.00000974	2.19e-09	-8.0681782	11.350261	-4.4744921	NUMA1	nuclear mitotic apparatus protein 1
217675_at	0.00001503	4.05e-09	-7.8488177	10.776354	-2.8029682	ZBTB7C	zinc finger and BTB domain containing 7C
212574_x_at	0.00001662	5.22e-09	-7.7587595	10.538874	-2.066207	TMEM259	transmembrane protein 259
216784_at	0.00002021	7.25e-09	-7.6429057	10.231818	-1.4511709		
208532_x_at	0.00002237	9.39e-09	-7.5523494	9.990616	-1.4443519	KRTAP5-8	keratin associated protein 5-8
216604_s_at	0.00002237	1.07e-08	-7.5069295	9.869252	-2.8456904	SLC7A8	solute carrier family 7 member 8
208900_s_at	0.00002237	1.20e-08	-7.4656186	9.758645	-1.7801484	TOP1	topoisomerase (DNA) I
205461_at	0.00002237	1.20e-08	-7.4652639	9.757695	-3.0324726	RAB35	RAB35, member RAS oncogene family
AFFX-r2-P1-cre-3_at	0.00002798	1.74e-08	-7.3370383	9.413059	-1.0002252		
AFFX-HUMRGE/M10098_M_at	0.00002798	1.76e-08	-7.3336477	9.40392	-2.2394187		
AFFX-CreX-3_at	0.00002808	1.89e-08	-7.3083615	9.335716	-1.1395071		
AFFX-CreX-5_at	0.00002852	2.05e-08	-7.2805998	9.26075	-1.2902661		
211876_x_at	0.00003088	2.36e-08	-7.2321255	9.129639	-4.7312643	PCDHGA3///PCDHGA5///PCDHGA6///PCDHGA10///PCDHGA11///PCDHGA12///PCDHGC3	protocadherin gamma subfamily A, 3///protocadherin gamma subfamily A, 5///protocadherin gamma subfamily A, 6///protocadherin gamma subfamily A, 10///protocadherin gamma subfamily A, 11///protocadherin gamma subfamily A, 12///protocadherin gamma subfamily C, 3
201044_x_at	0.00003504	2.83e-08	-7.1685963	8.957403	-4.6900311	DUSP1	dual specificity phosphatase 1
206824_at	0.00004448	3.79e-08	-7.0677012	8.682943	-2.0288237	CES1P1	carboxylesterase 1 pseudogene 1
200796_s_at	0.00004707	4.22e-08	-7.0305499	8.581605	-3.6795464	MCL1	BCL2 family apoptosis regulator
200917_s_at	0.00005295	4.99e-08	-6.9733187	8.425208	-3.4452469	SRPRA	SRP receptor alpha subunit
203890_s_at	0.00005798	5.94e-08	-6.9136499	8.261791	-1.8728478	MIR637///DAPK3	microRNA 637///death associated protein kinase 3
208518_s_at	0.00005798	6.35e-08	-6.8909125	8.199424	-1.9747323	PER2	period circadian clock 2
216603_at	0.00005798	6.43e-08	-6.8861772	8.186429	-3.1366526	SLC7A8	solute carrier family 7 member 8
213986_s_at	0.00005798	6.66e-08	-6.8744402	8.15421	-2.5705758	TMEM259	transmembrane protein 259
222115_x_at	0.00005798	7.01e-08	-6.857027	8.106384	-1.558189	GLYR1	glyoxylate reductase 1 homolog
209305_s_at	0.00005798	7.03e-08	-6.8561368	8.103938	-2.0877998	GADD45B	growth arrest and DNA damage inducible beta
AFFX-r2-P1-cre-5_at	0.00006425	8.22e-08	-6.8023722	7.956081	-0.9852755		
202434_s_at	0.00006425	8.36e-08	-6.7966063	7.940207	-3.7198417	CYP1B1	cytochrome P450 family 1 subfamily B member 1
208629_s_at	0.00007797	1.05e-07	-6.7190328	7.726348	-1.7496204	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit
215434_x_at	0.00008052	1.12e-07	-6.6968858	7.665191	-1.812259	LOC102724250///NBPF26///NBPF19///NBPF10///NBPF15///NBPF11///NBPF1///NBPF14	neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
222339_x_at	0.00009086	1.30e-07	-6.6449716	7.521661	-2.9050958		
203176_s_at	0.00009315	1.38e-07	-6.6260393	7.469259	-0.7453904	TFAM	transcription factor A, mitochondrial
202773_s_at	0.00009483	1.45e-07	-6.6098129	7.424322	-2.6723284	SFSWAP	splicing factor SWAP homolog
204560_at	0.00009628	1.51e-07	-6.5948174	7.382775	-3.9967915	FKBP5	FK506 binding protein 5
221017_s_at	0.0000987	1.59e-07	-6.5768025	7.332836	-1.9998787	LRRC3	leucine rich repeat containing 3
208459_s_at	0.00010947	1.82e-07	-6.5323845	7.209591	-1.1825987	XPO7	exportin 7
217007_s_at	0.00012164	2.07e-07	-6.487602	7.085174	-1.8372657	ADAM15	ADAM metallopeptidase domain 15
209346_s_at	0.00013043	2.28e-07	-6.4551926	6.995034	-2.0132568	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
208624_s_at	0.0001332	2.41e-07	-6.4373142	6.945275	-1.4218211	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
211839_s_at	0.0001332	2.45e-07	-6.4311386	6.928082	-1.6934511	CSF1	colony stimulating factor 1
218228_s_at	0.00013617	2.59e-07	-6.4129813	6.877514	-1.9270325	TNKS2	tankyrase 2
201465_s_at	0.00013617	2.65e-07	-6.4050624	6.855452	-3.6320909	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
211147_s_at	0.00013617	2.69e-07	-6.3998046	6.840802	-1.6942174	P2RX6	purinergic receptor P2X 6
213614_x_at	0.00013976	2.82e-07	-6.3834067	6.795097	-0.5945942	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
205210_at	0.00014872	3.07e-07	-6.3547963	6.715308	-2.3522218	TGFBRAP1	transforming growth factor beta receptor associated protein 1
210116_at	0.00014872	3.16e-07	6.3449768	6.687909	3.2570959	SH2D1A	SH2 domain containing 1A
214212_x_at	0.00014872	3.20e-07	-6.3406134	6.675733	-1.4266636	FERMT2	fermitin family member 2
212937_s_at	0.0001513	3.33e-07	-6.3278338	6.640062	-3.0965906	COL6A1	collagen type VI alpha 1 chain
202579_x_at	0.00015133	3.40e-07	6.3209381	6.62081	0.5652299	HMGN4	high mobility group nucleosomal binding domain 4
200671_s_at	0.00015232	3.56e-07	-6.3045863	6.575144	-4.0141373	SPTBN1	spectrin beta, non-erythrocytic 1
212073_at	0.00015232	3.60e-07	-6.3015434	6.566644	-1.2001729	CSNK2A1	casein kinase 2 alpha 1
210508_s_at	0.00015232	3.62e-07	6.2990779	6.559757	1.8961919	KCNQ2	potassium voltage-gated channel subfamily Q member 2
219028_at	0.00015309	3.90e-07	-6.2742182	6.490288	-0.7793699	HIPK2	homeodomain interacting protein kinase 2
202601_s_at	0.00015309	3.91e-07	-6.2735357	6.488381	-2.9656705	HTATSF1	HIV-1 Tat specific factor 1
210495_x_at	0.00015309	3.97e-07	-6.2684877	6.474269	-0.7232814	FN1	fibronectin 1
207783_x_at	0.00015309	3.98e-07	-6.266969	6.470024	-0.6286918	HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase
217399_s_at	0.00015309	3.98e-07	-6.2669667	6.470017	-2.0484857	FOXO3B///FOXO3	forkhead box O3B pseudogene///forkhead box O3
218881_s_at	0.00015443	4.09e-07	-6.2582677	6.445695	-1.972613	FOSL2	FOS like 2, AP-1 transcription factor subunit
213799_s_at	0.00016408	4.47e-07	-6.2279275	6.360828	-2.5117521	PTPRA	protein tyrosine phosphatase, receptor type A
218155_x_at	0.00016408	4.49e-07	-6.2265959	6.357102	-0.9488215	TSR1	TSR1, ribosome maturation factor
